interview_id,application_id,interview_date,round_number,result,feedback_score
1,10651,2023-11-09,1,On Hold,4.6
2,2042,2024-09-12,1,On Hold,8.4
3,8669,2023-10-13,1,On Hold,6.4
4,1115,2024-12-06,1,Pass,3.6
5,13903,2024-05-10,1,On Hold,3.7
6,11964,2023-12-30,1,Pass,7.3
7,11073,2024-12-19,1,On Hold,4.2
8,3003,2025-11-12,1,Pass,9.8
9,19772,2025-05-30,1,Pass,6.8
10,8116,2025-12-17,1,Pass,5.2
11,3526,2024-07-05,1,Pass,5.1
12,7880,2023-11-26,1,On Hold,6.7
13,16442,2026-04-19,1,Pass,9.3
14,16297,2024-03-11,1,Pass,5.5
15,12567,2024-09-27,1,Pass,6.1
16,5253,2025-02-24,1,Fail,7.2
17,19394,2025-10-09,1,Pass,6.2
18,16797,2025-06-01,1,Pass,4.2
19,8095,2024-05-05,1,On Hold,6.7
20,323,2025-01-13,1,Fail,5.5
21,9924,2025-06-20,1,Pass,6.1
22,7460,2025-06-09,1,Fail,9.6
23,19025,2024-09-19,1,Fail,6.2
24,17554,2026-03-15,1,Pass,2.9
25,9120,2025-05-10,1,Pass,6.0
26,16422,2024-04-29,1,Pass,6.4
27,16061,2026-04-26,1,Pass,7.7
28,10121,2025-06-23,1,Pass,7.0
29,19056,2024-05-22,1,Fail,7.0
30,3650,2023-08-03,1,Fail,7.1
31,3942,2025-05-26,1,Fail,7.9
32,17881,2026-02-26,1,Pass,4.1
33,16676,2025-12-05,1,Pass,10.0
34,12631,2024-12-04,1,Pass,5.9
35,11444,2024-03-30,1,Fail,4.7
36,12158,2025-02-04,1,Pass,7.3
37,13836,2025-04-22,1,On Hold,6.1
38,3435,2025-12-20,1,Pass,8.2
39,18740,2024-04-24,1,Pass,5.6
40,17408,2025-01-30,1,Pass,8.5
41,15441,2024-11-30,1,Fail,4.8
42,10407,2026-01-13,1,Fail,9.9
43,6518,2024-03-17,1,Fail,6.5
44,972,2023-12-08,1,Fail,9.2
45,16488,2023-09-02,1,Pass,4.5
46,19731,2025-03-22,1,Pass,7.9
47,13138,2024-06-26,1,Pass,7.8
48,3670,2024-08-21,1,Pass,6.2
49,15984,2024-08-03,1,Pass,2.9
50,4059,2025-06-30,1,Fail,7.9
51,14977,2026-01-12,1,Pass,6.0
52,15699,2025-07-30,1,Fail,8.9
53,13830,2023-07-18,1,Pass,8.3
54,13420,2025-07-31,1,Pass,8.8
55,961,2025-05-22,1,Pass,7.5
56,17745,2024-05-16,1,Pass,6.8
57,9865,2025-09-17,1,Fail,9.3
