job_id,company_id,title,department,package_lpa,job_type,posted_date,status
1,988,ML Engineer,Artificial Intelligence & ML,4.94,Internship + PPO,2024-04-11,Closed
2,557,Data Scientist,Data Science,5.42,Full-Time,2023-08-02,Open
3,243,DevOps Engineer,Electrical Engineering,19.22,Full-Time,2024-01-04,Filled
4,868,Data Scientist,Computer Science,4.38,Full-Time,2024-09-13,Closed
5,322,DevOps Engineer,Computer Science,5.14,Full-Time,2026-03-06,Closed
6,804,Business Analyst,Computer Science,17.51,Internship,2025-11-14,Open
7,4,Software Engineer,Mechanical Engineering,9.24,Full-Time,2024-03-13,Open
8,501,DevOps Engineer,Business Administration,4.61,Full-Time,2024-08-13,Closed
9,571,Data Analyst,Electronics & Communication,3.76,Full-Time,2023-12-23,Open
10,863,Associate Consultant,Commerce,4.87,Full-Time,2023-06-24,Closed
11,277,Data Scientist,Artificial Intelligence & ML,5.84,Full-Time,2025-10-22,Open
12,361,Backend Developer,Artificial Intelligence & ML,9.4,Full-Time,2025-10-25,Open
13,963,Software Engineer,Mechanical Engineering,3.3,Full-Time,2024-05-01,Closed
14,130,Backend Developer,Civil Engineering,7.73,Internship,2025-11-25,Closed
15,716,DevOps Engineer,Mechanical Engineering,2.68,Internship + PPO,2024-10-25,Filled
16,379,Full Stack Developer,Data Science,8.19,Internship,2025-07-08,Closed
17,162,Software Engineer,Artificial Intelligence & ML,5.39,Full-Time,2026-02-14,Filled
18,171,Product Analyst,Computer Science,5.63,Internship + PPO,2023-12-24,Filled
19,452,Data Scientist,Electrical Engineering,3.83,Full-Time,2025-05-12,Closed
20,463,Associate Consultant,Civil Engineering,3.99,Full-Time,2026-03-01,Filled
21,754,Product Analyst,Data Science,9.25,Full-Time,2024-07-01,Filled
22,406,QA Engineer,Computer Science,4.23,Full-Time,2026-02-26,Open
23,607,Frontend Developer,Data Science,4.41,Internship + PPO,2025-03-12,Open
24,105,Backend Developer,Commerce,6.39,Full-Time,2025-12-09,Open
25,19,Data Analyst,Data Science,5.95,Full-Time,2024-10-12,Filled
26,560,Systems Engineer,Commerce,6.7,Internship,2024-10-27,Closed
27,414,Product Analyst,Electrical Engineering,3.9,Full-Time,2023-06-12,Closed
28,662,Data Scientist,Business Administration,4.07,Full-Time,2024-12-06,Open
29,666,Systems Engineer,Mechanical Engineering,8.21,Internship,2026-03-11,Open
30,25,Associate Consultant,Electrical Engineering,8.55,Internship,2023-09-11,Closed
31,393,DevOps Engineer,Data Science,4.37,Full-Time,2026-04-25,Closed
32,55,Software Engineer,Electronics & Communication,6.04,Full-Time,2024-02-11,Open
33,765,Backend Developer,Information Technology,10.09,Full-Time,2025-04-07,Closed
34,619,Product Analyst,Electronics & Communication,6.21,Full-Time,2024-03-06,Open
35,246,Graduate Trainee Engineer,Data Science,6.1,Internship,2025-10-13,Open
36,649,Full Stack Developer,Civil Engineering,2.92,Internship + PPO,2024-02-17,Filled
37,198,Associate Consultant,Business Administration,3.31,Full-Time,2026-03-11,Filled
38,791,ML Engineer,Computer Science,7.04,Full-Time,2023-09-08,Filled
39,959,DevOps Engineer,Computer Science,9.21,Full-Time,2025-04-02,Filled
40,750,Software Engineer,Information Technology,26.92,Full-Time,2025-02-16,Closed
41,41,Data Scientist,Information Technology,6.14,Full-Time,2025-01-22,Filled
42,434,Product Analyst,Artificial Intelligence & ML,2.95,Full-Time,2025-03-08,Open
43,619,Software Engineer,Computer Science,10.38,Full-Time,2023-06-27,Closed
44,638,Cloud Engineer,Commerce,8.49,Full-Time,2023-10-23,Closed
45,622,Cloud Engineer,Computer Science,3.77,Full-Time,2023-09-22,Open
46,619,Backend Developer,Business Administration,2.84,Full-Time,2025-12-10,Open
47,70,Full Stack Developer,Civil Engineering,10.3,Internship + PPO,2026-04-03,Filled
48,63,QA Engineer,Mechanical Engineering,2.84,Internship,2025-08-12,Open
49,920,Systems Engineer,Artificial Intelligence & ML,3.67,Full-Time,2025-02-22,Open
50,39,Backend Developer,Data Science,10.11,Full-Time,2024-12-31,Closed
51,118,Graduate Trainee Engineer,Commerce,13.26,Internship,2024-09-18,Filled
52,316,DevOps Engineer,Commerce,6.82,Full-Time,2023-08-06,Filled
53,752,Data Analyst,Mechanical Engineering,6.31,Internship,2024-12-17,Filled
54,741,Product Analyst,Business Administration,4.62,Full-Time,2024-01-06,Closed
55,339,Product Analyst,Data Science,4.65,Full-Time,2025-03-13,Filled
56,438,Data Analyst,Business Administration,5.3,Full-Time,2026-03-16,Filled
57,728,Business Analyst,Information Technology,5.83,Full-Time,2024-08-22,Closed
