offer_id,application_id,offer_date,package_lpa,status
1,876,2023-07-26,5.32,Accepted
2,5688,2024-04-29,3.4,Declined
3,3571,2024-12-25,5.52,Accepted
4,12228,2024-11-21,3.79,Pending
5,10079,2024-04-12,6.1,Accepted
6,15720,2023-08-20,5.28,Pending
7,5909,2025-04-24,5.9,Accepted
8,8407,2024-07-24,8.76,Accepted
9,6291,2024-02-03,4.73,Expired
10,16061,2026-05-03,5.48,Pending
11,4788,2024-11-08,5.68,Accepted
12,2586,2025-03-05,5.22,Accepted
13,3992,2025-04-08,3.65,Accepted
14,14074,2024-05-20,6.58,Accepted
15,2300,2024-01-14,5.31,Declined
16,4897,2026-02-24,8.19,Accepted
17,18585,2024-06-19,11.23,Accepted
18,6587,2024-06-26,8.12,Accepted
19,19248,2026-03-27,3.59,Declined
20,16267,2026-03-11,3.78,Declined
21,1347,2024-02-29,4.09,Accepted
22,14222,2025-07-08,5.95,Accepted
23,15066,2023-09-13,11.09,Accepted
24,3373,2023-11-03,4.69,Declined
25,10014,2024-04-12,11.5,Accepted
26,11767,2025-05-14,5.29,Accepted
27,10792,2025-08-15,6.65,Accepted
28,1966,2024-10-17,4.45,Accepted
29,6067,2025-04-15,6.23,Accepted
30,16063,2024-02-29,6.76,Accepted
31,10448,2024-08-29,7.36,Declined
32,16665,2024-04-30,10.67,Accepted
33,8823,2024-11-10,3.89,Accepted
34,9672,2026-01-19,5.46,Expired
35,15890,2024-08-02,7.03,Declined
36,15858,2025-08-21,4.92,Accepted
37,18989,2024-04-07,3.92,Accepted
38,1744,2024-01-15,9.76,Pending
39,17345,2025-08-17,4.8,Pending
40,1257,2024-05-24,7.14,Accepted
41,5024,2026-04-08,4.89,Accepted
42,9806,2024-05-15,4.55,Declined
43,4167,2025-05-23,5.74,Accepted
44,1693,2025-05-06,5.3,Accepted
45,11505,2025-10-02,8.44,Accepted
46,2999,2023-09-10,3.47,Accepted
47,9774,2025-11-24,6.17,Expired
48,19390,2024-03-14,3.39,Declined
49,8139,2025-12-12,4.7,Accepted
50,14783,2024-06-23,12.98,Declined
51,2806,2024-06-29,18.38,Accepted
52,10581,2025-07-28,7.11,Pending
53,17691,2024-03-13,7.03,Accepted
54,9812,2025-04-17,4.03,Expired
55,12650,2024-03-21,8.69,Pending
56,18249,2024-02-08,4.69,Accepted
57,16039,2025-08-05,4.9,Accepted
58,11409,2025-06-15,5.89,Accepted
59,8680,2026-04-08,6.1,Pending
60,19488,2023-07-18,10.55,Accepted
61,1618,2023-08-17,6.86,Pending
62,18535,2024-12-31,3.47,Accepted
63,19131,2025-04-09,2.98,Expired
64,18184,2023-07-24,6.93,Accepted
65,15861,2024-06-21,5.96,Accepted
66,851,2024-05-12,4.0,Accepted
67,3669,2024-10-04,6.5,Declined
68,12953,2025-09-07,3.37,Accepted
69,31,2024-06-03,14.94,Accepted
70,15468,2025-01-24,6.67,Accepted
71,4922,2025-12-02,8.07,Accepted
72,5082,2024-01-04,9.0,Pending
73,333,2024-02-23,3.36,Declined
74,4011,2026-05-02,13.75,Accepted
75,3890,2023-12-18,4.69,Accepted
76,17497,2026-01-17,5.87,Accepted
77,11424,2024-10-17,4.31,Accepted
78,7276,2023-11-23,6.67,Pending
79,1945,2023-12-25,10.59,Accepted
80,14669,2025-02-06,7.41,Accepted
