payment_id,college_id,company_id,amount,payment_date,payment_type,status
1,58.0,237.0,42640.0,2025-04-22,Placement Fee,Refunded
2,94.0,,50000.0,2025-05-12,Subscription,Success
3,,46.0,67187.4,2023-06-29,Job-Posting Fee,Failed
4,,685.0,27985.8,2026-01-13,Job-Posting Fee,Success
5,78.0,430.0,26640.0,2026-05-14,Placement Fee,Success
6,89.0,,150000.0,2023-07-23,Subscription,Success
7,84.0,566.0,75520.0,2025-06-10,Placement Fee,Success
8,,124.0,57858.53,2026-02-20,Premium Listing,Failed
9,,62.0,37420.45,2024-08-18,Premium Listing,Success
10,34.0,,100000.0,2026-03-03,Subscription,Failed
11,,753.0,52242.6,2023-10-16,Job-Posting Fee,Success
12,64.0,113.0,36560.0,2025-10-07,Placement Fee,Success
13,57.0,793.0,27040.0,2023-10-14,Placement Fee,Success
14,13.0,766.0,86640.0,2025-05-27,Placement Fee,Success
15,27.0,,25000.0,2024-09-16,Subscription,Failed
16,,336.0,49322.62,2025-08-08,Job-Posting Fee,Pending
17,10.0,440.0,39680.0,2025-05-14,Placement Fee,Success
18,,100.0,5487.25,2025-09-19,Premium Listing,Failed
19,26.0,,50000.0,2024-01-26,Subscription,Success
20,,916.0,67733.7,2023-08-03,Premium Listing,Success
21,20.0,978.0,26480.0,2023-09-10,Placement Fee,Success
22,,833.0,37941.0,2024-09-07,Premium Listing,Success
23,45.0,,25000.0,2024-12-24,Subscription,Success
24,,375.0,36044.83,2023-10-31,Job-Posting Fee,Success
25,65.0,,100000.0,2025-07-27,Subscription,Success
26,,337.0,30878.67,2025-11-12,Job-Posting Fee,Success
27,,100.0,27294.68,2026-02-23,Job-Posting Fee,Success
28,,59.0,44041.26,2025-04-09,Premium Listing,Success
29,11.0,204.0,45600.0,2026-06-10,Placement Fee,Success
30,11.0,458.0,47440.0,2025-01-31,Placement Fee,Success
31,29.0,378.0,29760.0,2025-12-02,Placement Fee,Pending
32,68.0,,25000.0,2024-08-08,Subscription,Pending
33,,441.0,23198.0,2024-03-25,Job-Posting Fee,Pending
34,62.0,,100000.0,2024-08-29,Subscription,Success
35,67.0,163.0,47520.0,2026-05-22,Placement Fee,Success
36,,276.0,70071.75,2023-12-23,Job-Posting Fee,Success
37,67.0,,100000.0,2025-03-12,Subscription,Success
38,,122.0,12901.34,2025-10-28,Job-Posting Fee,Success
39,57.0,887.0,52240.0,2025-08-09,Placement Fee,Success
40,20.0,711.0,26960.0,2026-03-09,Placement Fee,Success
41,59.0,,150000.0,2026-03-05,Subscription,Success
42,63.0,,50000.0,2023-08-07,Subscription,Refunded
43,81.0,,100000.0,2025-06-12,Subscription,Pending
44,,973.0,43087.69,2023-10-18,Premium Listing,Success
45,,687.0,9004.25,2024-03-08,Job-Posting Fee,Success
46,88.0,266.0,47360.0,2026-01-18,Placement Fee,Success
47,,182.0,39486.13,2026-01-26,Premium Listing,Success
48,27.0,,50000.0,2025-08-06,Subscription,Success
49,74.0,,150000.0,2024-07-21,Subscription,Success
50,69.0,,150000.0,2024-05-26,Subscription,Success
51,,926.0,40607.45,2024-08-01,Premium Listing,Success
52,60.0,,100000.0,2026-05-31,Subscription,Success
53,42.0,,50000.0,2025-05-10,Subscription,Success
54,37.0,881.0,78320.0,2024-03-12,Placement Fee,Success
55,13.0,649.0,90240.0,2023-09-27,Placement Fee,Success
56,81.0,,50000.0,2025-09-25,Subscription,Success
57,65.0,,25000.0,2025-01-02,Subscription,Success
58,8.0,793.0,28880.0,2023-11-03,Placement Fee,Success
59,4.0,,100000.0,2023-07-01,Subscription,Success
60,36.0,915.0,67120.0,2025-03-11,Placement Fee,Success
61,35.0,,100000.0,2025-06-30,Subscription,Success
62,8.0,607.0,34480.0,2025-07-04,Placement Fee,Success
63,58.0,537.0,85840.0,2024-09-17,Placement Fee,Success
64,53.0,,100000.0,2025-11-26,Subscription,Success
65,,882.0,56849.92,2024-06-08,Job-Posting Fee,Success
66,93.0,624.0,48960.0,2023-12-08,Placement Fee,Failed
67,43.0,,150000.0,2024-08-31,Subscription,Success
68,,600.0,42844.85,2024-10-11,Job-Posting Fee,Success
69,31.0,,50000.0,2024-09-25,Subscription,Success
70,,512.0,25500.8,2023-11-14,Job-Posting Fee,Success
71,,850.0,48451.08,2025-08-18,Job-Posting Fee,Success
72,44.0,,50000.0,2026-04-17,Subscription,Success
73,70.0,160.0,50960.0,2023-11-27,Placement Fee,Pending
74,26.0,354.0,61680.0,2023-08-21,Placement Fee,Success
75,,790.0,26579.67,2025-03-03,Premium Listing,Success
76,,680.0,59294.54,2026-02-11,Job-Posting Fee,Success
77,,32.0,58480.36,2023-09-20,Job-Posting Fee,Pending
78,40.0,,50000.0,2024-08-13,Subscription,Success
79,75.0,293.0,77120.0,2025-05-14,Placement Fee,Success
80,,583.0,43368.79,2026-02-02,Job-Posting Fee,Success
81,73.0,,50000.0,2024-09-08,Subscription,Success
82,,24.0,16538.75,2025-05-22,Premium Listing,Success
83,9.0,844.0,29440.0,2023-08-12,Placement Fee,Success
84,43.0,,100000.0,2024-08-20,Subscription,Success
85,,473.0,55642.91,2026-03-26,Premium Listing,Success
86,2.0,242.0,56480.0,2026-06-30,Placement Fee,Success
87,49.0,163.0,47040.0,2026-05-02,Placement Fee,Success
88,6.0,605.0,114160.0,2024-10-02,Placement Fee,Success
89,11.0,,100000.0,2026-03-20,Subscription,Success
90,26.0,,50000.0,2024-03-05,Subscription,Pending
91,58.0,,150000.0,2023-06-14,Subscription,Refunded
92,75.0,547.0,53840.0,2024-09-20,Placement Fee,Success
93,,803.0,32367.28,2026-06-19,Job-Posting Fee,Success
94,,9.0,24476.33,2023-06-26,Premium Listing,Success
95,90.0,,150000.0,2025-11-12,Subscription,Success
96,22.0,794.0,30240.0,2025-08-08,Placement Fee,Success
97,16.0,,50000.0,2024-09-22,Subscription,Success
98,42.0,588.0,32400.0,2024-08-09,Placement Fee,Success
99,62.0,,100000.0,2025-12-25,Subscription,Pending
100,45.0,,50000.0,2026-03-21,Subscription,Success
101,44.0,684.0,61840.0,2026-03-11,Placement Fee,Success
102,28.0,,150000.0,2026-01-13,Subscription,Success
103,76.0,,150000.0,2026-02-27,Subscription,Failed
104,68.0,,25000.0,2024-03-21,Subscription,Success
105,85.0,87.0,44400.0,2025-02-16,Placement Fee,Success
106,52.0,833.0,32480.0,2024-10-17,Placement Fee,Success
107,,243.0,56522.77,2025-04-18,Job-Posting Fee,Success
108,,518.0,17714.37,2025-07-29,Job-Posting Fee,Success
109,10.0,,100000.0,2025-12-19,Subscription,Success
110,22.0,461.0,51360.0,2024-11-10,Placement Fee,Failed
111,22.0,740.0,48240.0,2024-08-28,Placement Fee,Success
112,,773.0,63343.67,2026-05-11,Job-Posting Fee,Success
113,85.0,32.0,44080.0,2023-11-27,Placement Fee,Success
114,,708.0,61812.87,2023-07-13,Job-Posting Fee,Success
115,,398.0,31178.87,2023-12-03,Premium Listing,Success
116,21.0,523.0,26880.0,2025-04-03,Placement Fee,Success
117,61.0,498.0,50560.0,2026-03-14,Placement Fee,Success
118,75.0,,100000.0,2024-07-20,Subscription,Success
119,,823.0,67463.52,2023-09-16,Premium Listing,Success
120,98.0,557.0,33520.0,2026-02-21,Placement Fee,Success
121,67.0,,150000.0,2025-08-05,Subscription,Success
122,,496.0,51071.93,2023-07-29,Premium Listing,Success
123,75.0,520.0,63200.0,2025-02-22,Placement Fee,Refunded
124,1.0,806.0,55680.0,2026-05-18,Placement Fee,Success
125,42.0,,150000.0,2024-01-28,Subscription,Success
126,32.0,,50000.0,2023-07-19,Subscription,Pending
127,96.0,,100000.0,2024-03-14,Subscription,Success
128,77.0,,50000.0,2023-11-25,Subscription,Success
129,22.0,,25000.0,2025-11-29,Subscription,Success
130,24.0,,25000.0,2025-02-23,Subscription,Success
131,27.0,,100000.0,2026-05-02,Subscription,Pending
132,,7.0,10200.76,2025-01-19,Premium Listing,Failed
133,46.0,218.0,66400.0,2024-01-26,Placement Fee,Success
134,73.0,,50000.0,2025-06-16,Subscription,Success
135,74.0,493.0,33200.0,2025-12-03,Placement Fee,Success
136,,923.0,18934.38,2023-07-20,Job-Posting Fee,Success
137,6.0,533.0,27600.0,2024-12-26,Placement Fee,Success
138,,566.0,39661.74,2024-06-07,Premium Listing,Success
139,58.0,53.0,35360.0,2025-07-12,Placement Fee,Success
140,,162.0,14340.17,2024-09-01,Job-Posting Fee,Success
141,33.0,,50000.0,2024-10-13,Subscription,Success
142,,418.0,66440.63,2025-03-16,Premium Listing,Success
143,80.0,95.0,26000.0,2025-10-27,Placement Fee,Success
144,56.0,,100000.0,2023-10-10,Subscription,Success
145,,754.0,35999.81,2023-11-12,Premium Listing,Failed
146,,405.0,9685.79,2025-01-29,Job-Posting Fee,Success
147,,280.0,48175.88,2025-03-04,Premium Listing,Success
148,24.0,491.0,75840.0,2024-09-13,Placement Fee,Success
149,34.0,243.0,35280.0,2024-02-05,Placement Fee,Success
150,,263.0,26907.25,2026-04-01,Premium Listing,Success
151,,637.0,57902.89,2025-06-21,Job-Posting Fee,Success
152,,807.0,60930.09,2026-04-26,Job-Posting Fee,Pending
153,69.0,,100000.0,2024-04-16,Subscription,Success
154,22.0,955.0,84480.0,2026-06-15,Placement Fee,Success
155,,494.0,22681.74,2026-05-05,Job-Posting Fee,Success
156,32.0,758.0,80240.0,2024-11-20,Placement Fee,Refunded
157,,134.0,65332.39,2025-02-11,Job-Posting Fee,Success
158,11.0,,150000.0,2023-06-30,Subscription,Success
159,87.0,,100000.0,2023-06-28,Subscription,Failed
160,,167.0,26424.61,2023-10-21,Job-Posting Fee,Success
161,58.0,328.0,50000.0,2026-06-27,Placement Fee,Failed
162,,23.0,69931.48,2024-01-29,Premium Listing,Success
163,,851.0,25986.64,2026-06-16,Job-Posting Fee,Success
164,,511.0,63009.93,2025-04-03,Premium Listing,Success
165,75.0,,25000.0,2026-06-30,Subscription,Failed
166,,813.0,15414.45,2026-03-05,Premium Listing,Success
167,,654.0,74786.16,2023-10-09,Job-Posting Fee,Success
168,,852.0,40681.9,2025-03-03,Premium Listing,Success
169,87.0,,100000.0,2025-11-18,Subscription,Success
170,,814.0,9659.35,2023-06-27,Job-Posting Fee,Failed
171,13.0,649.0,90240.0,2023-10-04,Placement Fee,Refunded
172,58.0,53.0,35360.0,2025-08-10,Placement Fee,Success
173,34.0,771.0,54160.0,2025-03-01,Placement Fee,Success
