placement_id,offer_id,student_id,college_id,company_id,joining_date,package_lpa,status
1,2089,2355,82,306,2026-06-30,6.01,Deferred
2,3338,4118,93,917,2023-08-13,7.7,Confirmed
3,2520,503,9,631,2026-05-18,4.91,Joined
4,699,100,73,551,2025-04-06,8.58,Joined
5,2168,235,43,527,2024-10-10,7.59,Joined
6,1097,4160,21,450,2024-11-10,4.68,Deferred
7,503,1800,77,435,2024-09-07,7.68,Joined
8,2295,2321,61,944,2024-02-20,8.12,Joined
9,3968,4573,8,607,2024-02-14,7.99,Confirmed
10,569,1197,26,893,2026-01-17,3.72,Confirmed
11,261,2195,54,382,2025-04-04,7.16,Confirmed
12,794,4367,95,824,2025-05-29,10.02,Joined
13,1187,3797,28,35,2025-08-14,4.63,Joined
14,1824,4318,86,914,2024-03-10,6.4,Joined
15,348,222,17,725,2025-09-29,2.89,Joined
16,2025,2132,11,282,2026-06-30,16.43,Confirmed
17,2805,4637,19,766,2025-11-10,8.02,Joined
18,1500,3819,69,46,2024-08-28,4.46,Joined
19,2929,2040,3,802,2025-10-27,4.42,Joined
20,3704,4665,16,314,2026-02-22,2.78,Joined
21,3954,3092,8,859,2025-02-04,9.46,Joined
22,572,2132,11,571,2024-09-07,3.16,Joined
23,1490,2453,2,130,2024-12-31,6.28,Confirmed
24,2892,4241,15,737,2024-08-10,4.72,Joined
25,2710,3167,37,105,2026-01-24,5.9,Joined
26,2305,3501,29,298,2026-01-05,4.71,Joined
27,1696,2561,56,791,2023-10-16,7.51,Joined
28,1390,3882,61,416,2025-09-02,5.96,Joined
29,2396,2758,4,182,2024-09-16,5.47,Confirmed
30,198,4215,84,870,2026-06-22,4.69,Dropped
31,1955,2669,70,290,2024-05-25,7.78,Joined
32,3497,4856,7,936,2025-02-22,4.44,Joined
33,838,3239,91,600,2023-11-28,13.91,Joined
34,409,4267,1,295,2024-12-16,9.4,Joined
35,3126,470,62,948,2026-06-18,10.06,Joined
36,422,3830,73,923,2026-01-18,6.08,Joined
37,3123,1729,50,869,2025-08-13,15.82,Confirmed
38,2169,2423,38,880,2025-09-01,3.02,Joined
39,2788,1154,32,959,2024-05-10,6.26,Confirmed
40,358,812,51,453,2026-03-27,5.84,Confirmed
41,2200,2042,69,778,2025-10-27,2.78,Joined
42,4111,2052,1,383,2024-07-01,7.64,Joined
43,1963,4932,51,800,2024-09-06,4.38,Joined
44,4290,3402,77,626,2023-09-20,7.36,Joined
45,360,4266,71,647,2024-03-07,18.48,Joined
46,2294,1120,58,291,2023-10-13,7.36,Confirmed
47,1656,3094,26,693,2025-05-22,4.26,Joined
48,2240,2879,100,746,2024-03-14,11.57,Deferred
49,420,1943,59,930,2024-06-26,6.73,Deferred
50,1193,825,11,616,2024-09-10,6.79,Confirmed
51,1710,4626,63,696,2025-09-15,3.48,Joined
52,4103,1453,41,376,2023-09-20,2.44,Joined
53,2658,892,3,843,2025-12-11,3.54,Joined
54,2464,4100,25,828,2025-12-19,5.68,Joined
55,939,3862,27,849,2024-02-22,3.96,Confirmed
56,835,3529,67,716,2025-02-10,4.62,Joined
57,3097,2490,2,362,2025-09-15,6.35,Deferred
58,3754,1910,49,958,2025-02-01,6.47,Confirmed
59,152,801,50,322,2024-12-06,6.29,Dropped
60,353,3545,90,93,2024-03-12,4.82,Joined
61,3724,1381,24,607,2025-08-03,5.5,Joined
62,3017,1897,53,818,2024-05-05,5.05,Joined
63,80,3530,41,749,2025-02-13,7.41,Joined
64,2466,3542,58,237,2025-03-23,5.33,Joined
65,3276,2981,92,490,2025-07-18,4.69,Confirmed
66,97,3750,35,530,2023-11-14,13.12,Deferred
67,1102,2570,51,894,2024-08-19,5.37,Dropped
68,272,2742,21,943,2026-04-14,3.9,Joined
69,1120,3281,11,204,2026-05-14,5.7,Deferred
70,519,3530,41,456,2024-09-06,8.3,Confirmed
71,3621,3769,19,96,2024-07-07,7.64,Confirmed
72,3944,1971,78,386,2023-07-30,5.45,Joined
73,3725,293,45,209,2025-01-09,6.64,Deferred
74,3023,875,15,203,2025-06-29,5.31,Deferred
75,247,3975,69,799,2024-11-09,6.06,Joined
76,3505,2937,3,272,2026-03-09,8.56,Joined
77,356,2652,33,447,2025-03-08,4.3,Joined
78,2569,377,64,578,2025-12-06,7.58,Deferred
79,807,1643,68,456,2024-09-26,6.12,Joined
80,666,2790,48,136,2023-08-19,3.25,Confirmed
81,70,3526,12,941,2025-02-15,6.67,Joined
82,3808,4965,62,529,2023-09-27,3.55,Confirmed
83,2445,1718,12,394,2024-04-03,11.96,Joined
84,3703,2142,40,575,2025-04-17,22.08,Confirmed
85,1541,3779,83,726,2023-12-16,5.13,Confirmed
86,963,227,33,452,2023-11-14,5.02,Confirmed
87,270,2141,82,715,2026-03-27,4.25,Joined
88,1063,3578,94,984,2025-03-17,5.78,Deferred
89,3196,721,47,168,2023-11-30,7.5,Dropped
90,2759,2470,2,953,2023-08-30,2.8,Dropped
91,286,3873,49,847,2024-04-16,13.59,Confirmed
92,376,4788,47,531,2026-06-19,6.18,Joined
93,952,4281,45,788,2024-05-28,15.6,Joined
94,881,1996,46,900,2025-10-19,8.94,Dropped
95,311,3697,65,390,2024-07-26,8.13,Dropped
96,1177,3249,87,657,2025-06-03,8.21,Dropped
97,490,3360,5,300,2025-05-25,4.51,Confirmed
98,958,187,67,326,2026-03-18,9.61,Confirmed
99,1646,3490,95,281,2025-06-01,5.01,Joined
100,3207,483,3,410,2024-08-03,2.7,Confirmed
101,1496,2502,32,427,2024-04-26,7.0,Deferred
102,2198,4900,87,340,2024-05-05,3.41,Joined
103,340,1691,72,345,2024-10-10,4.75,Confirmed
104,253,917,5,211,2025-05-26,14.39,Deferred
105,1238,3793,83,296,2023-11-10,3.02,Joined
106,3548,463,8,614,2026-03-24,9.18,Joined
107,3776,1871,69,854,2026-06-09,6.54,Confirmed
108,3965,958,65,231,2025-06-25,7.1,Joined
109,4142,4916,47,703,2024-04-16,14.03,Joined
110,3124,4440,7,203,2025-01-14,6.8,Joined
111,2924,4613,32,380,2026-04-25,4.9,Confirmed
112,210,4015,74,595,2026-01-10,4.3,Joined
113,3098,547,91,826,2025-03-15,6.01,Joined
114,3797,4890,79,333,2026-05-14,7.57,Confirmed
115,3239,4897,45,660,2026-04-02,4.23,Confirmed
116,2352,492,68,116,2023-10-11,5.39,Confirmed
117,3845,3818,48,825,2025-12-17,5.1,Joined
118,4195,4247,61,302,2025-03-06,5.53,Confirmed
119,2236,274,7,184,2024-08-08,5.65,Dropped
120,3339,2266,58,40,2023-12-26,8.41,Confirmed
121,3887,3306,35,89,2026-06-28,8.0,Joined
122,3848,848,4,870,2026-05-10,9.11,Joined
123,2424,4576,81,659,2023-12-21,16.82,Joined
124,2384,3516,16,564,2023-11-29,4.76,Joined
125,3760,1153,31,127,2024-03-26,15.55,Joined
126,4118,283,96,929,2024-01-02,5.31,Joined
127,2502,66,58,53,2025-07-11,4.42,Confirmed
128,81,600,13,81,2024-12-17,8.14,Joined
129,1673,1358,21,403,2026-03-26,9.74,Joined
130,2494,2046,11,656,2023-08-26,4.86,Joined
131,2472,3307,7,674,2025-11-03,4.73,Confirmed
132,1592,4322,56,657,2026-03-26,6.95,Joined
133,204,9,27,489,2025-06-02,5.19,Confirmed
134,846,2420,52,638,2025-07-10,3.6,Confirmed
135,3460,1508,47,102,2024-06-23,3.55,Joined
136,219,3731,61,879,2024-06-03,11.81,Joined
137,457,4189,56,246,2025-02-25,10.07,Confirmed
138,1,2679,61,6,2023-08-31,5.32,Joined
139,1882,611,7,320,2025-09-18,10.85,Joined
140,2741,466,8,659,2025-06-07,4.12,Confirmed
141,1499,2468,31,788,2024-06-11,6.42,Deferred
142,469,3597,23,263,2025-08-10,6.57,Confirmed
143,411,257,96,834,2024-11-12,2.61,Joined
144,51,2802,80,987,2024-07-01,18.38,Joined
145,3474,3418,43,633,2023-07-03,4.34,Joined
146,23,583,86,178,2023-09-22,11.09,Joined
147,142,4652,2,126,2024-12-29,7.85,Joined
148,1407,4026,68,426,2025-02-21,8.88,Deferred
149,571,4153,62,40,2026-06-05,5.09,Confirmed
150,805,1441,37,996,2025-07-16,6.76,Confirmed
151,1224,1816,5,56,2024-04-30,12.71,Joined
152,215,1802,52,382,2025-11-08,4.75,Joined
153,2934,851,45,599,2025-04-27,6.02,Deferred
154,764,12,24,959,2023-08-17,5.74,Dropped
155,1038,499,56,798,2026-03-21,9.3,Joined
156,2893,3090,9,844,2023-08-11,3.68,Joined
157,1511,2935,73,358,2026-02-15,3.83,Deferred
158,2804,4696,30,874,2023-08-27,7.05,Deferred
159,594,4470,5,479,2026-06-30,12.76,Joined
160,2597,688,23,885,2025-03-23,12.2,Confirmed
161,455,1794,80,530,2023-10-11,5.47,Joined
162,266,52,99,167,2024-11-15,4.68,Joined
163,3907,3142,100,586,2023-08-07,2.81,Deferred
164,1211,3445,17,965,2023-12-14,4.55,Deferred
165,442,1278,99,796,2025-10-03,6.14,Deferred
166,3520,914,98,968,2025-02-13,3.77,Confirmed
167,3706,3442,77,85,2026-03-24,7.23,Deferred
