event_id,payment_id,related_type,related_id,amount,event_date,category
1,2,college,94,50000.0,2025-05-12,Subscription Revenue
2,4,college,0,27985.8,2026-01-13,Listing Fee
3,5,college,78,26640.0,2026-05-14,Placement Commission
4,6,college,89,150000.0,2023-07-23,Subscription Revenue
5,7,college,84,75520.0,2025-06-10,Placement Commission
6,9,college,0,37420.45,2024-08-18,Premium Feature
7,11,college,0,52242.6,2023-10-16,Listing Fee
8,12,college,64,36560.0,2025-10-07,Placement Commission
9,13,college,57,27040.0,2023-10-14,Placement Commission
10,14,college,13,86640.0,2025-05-27,Placement Commission
11,17,college,10,39680.0,2025-05-14,Placement Commission
12,19,college,26,50000.0,2024-01-26,Subscription Revenue
13,20,college,0,67733.7,2023-08-03,Premium Feature
14,21,college,20,26480.0,2023-09-10,Placement Commission
15,22,college,0,37941.0,2024-09-07,Premium Feature
16,23,college,45,25000.0,2024-12-24,Subscription Revenue
17,24,college,0,36044.83,2023-10-31,Listing Fee
18,25,college,65,100000.0,2025-07-27,Subscription Revenue
19,26,college,0,30878.67,2025-11-12,Listing Fee
20,27,college,0,27294.68,2026-02-23,Listing Fee
21,28,college,0,44041.26,2025-04-09,Premium Feature
22,29,college,11,45600.0,2026-06-10,Placement Commission
23,30,college,11,47440.0,2025-01-31,Placement Commission
24,34,college,62,100000.0,2024-08-29,Subscription Revenue
25,35,college,67,47520.0,2026-05-22,Placement Commission
26,36,college,0,70071.75,2023-12-23,Listing Fee
27,37,college,67,100000.0,2025-03-12,Subscription Revenue
28,38,college,0,12901.34,2025-10-28,Listing Fee
29,39,college,57,52240.0,2025-08-09,Placement Commission
30,40,college,20,26960.0,2026-03-09,Placement Commission
31,41,college,59,150000.0,2026-03-05,Subscription Revenue
32,44,college,0,43087.69,2023-10-18,Premium Feature
33,45,college,0,9004.25,2024-03-08,Listing Fee
34,46,college,88,47360.0,2026-01-18,Placement Commission
35,47,college,0,39486.13,2026-01-26,Premium Feature
36,48,college,27,50000.0,2025-08-06,Subscription Revenue
37,49,college,74,150000.0,2024-07-21,Subscription Revenue
38,50,college,69,150000.0,2024-05-26,Subscription Revenue
39,51,college,0,40607.45,2024-08-01,Premium Feature
40,52,college,60,100000.0,2026-05-31,Subscription Revenue
41,53,college,42,50000.0,2025-05-10,Subscription Revenue
42,54,college,37,78320.0,2024-03-12,Placement Commission
43,55,college,13,90240.0,2023-09-27,Placement Commission
44,56,college,81,50000.0,2025-09-25,Subscription Revenue
45,57,college,65,25000.0,2025-01-02,Subscription Revenue
46,58,college,8,28880.0,2023-11-03,Placement Commission
47,59,college,4,100000.0,2023-07-01,Subscription Revenue
48,60,college,36,67120.0,2025-03-11,Placement Commission
49,61,college,35,100000.0,2025-06-30,Subscription Revenue
50,62,college,8,34480.0,2025-07-04,Placement Commission
51,63,college,58,85840.0,2024-09-17,Placement Commission
52,64,college,53,100000.0,2025-11-26,Subscription Revenue
53,65,college,0,56849.92,2024-06-08,Listing Fee
54,67,college,43,150000.0,2024-08-31,Subscription Revenue
55,68,college,0,42844.85,2024-10-11,Listing Fee
56,69,college,31,50000.0,2024-09-25,Subscription Revenue
57,70,college,0,25500.8,2023-11-14,Listing Fee
58,71,college,0,48451.08,2025-08-18,Listing Fee
59,72,college,44,50000.0,2026-04-17,Subscription Revenue
60,74,college,26,61680.0,2023-08-21,Placement Commission
61,75,college,0,26579.67,2025-03-03,Premium Feature
62,76,college,0,59294.54,2026-02-11,Listing Fee
63,78,college,40,50000.0,2024-08-13,Subscription Revenue
64,79,college,75,77120.0,2025-05-14,Placement Commission
65,80,college,0,43368.79,2026-02-02,Listing Fee
66,81,college,73,50000.0,2024-09-08,Subscription Revenue
67,82,college,0,16538.75,2025-05-22,Premium Feature
68,83,college,9,29440.0,2023-08-12,Placement Commission
69,84,college,43,100000.0,2024-08-20,Subscription Revenue
70,85,college,0,55642.91,2026-03-26,Premium Feature
71,86,college,2,56480.0,2026-06-30,Placement Commission
72,87,college,49,47040.0,2026-05-02,Placement Commission
73,88,college,6,114160.0,2024-10-02,Placement Commission
74,89,college,11,100000.0,2026-03-20,Subscription Revenue
75,92,college,75,53840.0,2024-09-20,Placement Commission
76,93,college,0,32367.28,2026-06-19,Listing Fee
77,94,college,0,24476.33,2023-06-26,Premium Feature
78,95,college,90,150000.0,2025-11-12,Subscription Revenue
79,96,college,22,30240.0,2025-08-08,Placement Commission
80,97,college,16,50000.0,2024-09-22,Subscription Revenue
81,98,college,42,32400.0,2024-08-09,Placement Commission
82,100,college,45,50000.0,2026-03-21,Subscription Revenue
83,101,college,44,61840.0,2026-03-11,Placement Commission
84,102,college,28,150000.0,2026-01-13,Subscription Revenue
85,104,college,68,25000.0,2024-03-21,Subscription Revenue
86,105,college,85,44400.0,2025-02-16,Placement Commission
87,106,college,52,32480.0,2024-10-17,Placement Commission
88,107,college,0,56522.77,2025-04-18,Listing Fee
89,108,college,0,17714.37,2025-07-29,Listing Fee
90,109,college,10,100000.0,2025-12-19,Subscription Revenue
91,111,college,22,48240.0,2024-08-28,Placement Commission
92,112,college,0,63343.67,2026-05-11,Listing Fee
93,113,college,85,44080.0,2023-11-27,Placement Commission
94,114,college,0,61812.87,2023-07-13,Listing Fee
95,115,college,0,31178.87,2023-12-03,Premium Feature
96,116,college,21,26880.0,2025-04-03,Placement Commission
97,117,college,61,50560.0,2026-03-14,Placement Commission
98,118,college,75,100000.0,2024-07-20,Subscription Revenue
99,119,college,0,67463.52,2023-09-16,Premium Feature
100,120,college,98,33520.0,2026-02-21,Placement Commission
101,121,college,67,150000.0,2025-08-05,Subscription Revenue
102,122,college,0,51071.93,2023-07-29,Premium Feature
103,124,college,1,55680.0,2026-05-18,Placement Commission
104,125,college,42,150000.0,2024-01-28,Subscription Revenue
105,127,college,96,100000.0,2024-03-14,Subscription Revenue
106,128,college,77,50000.0,2023-11-25,Subscription Revenue
107,129,college,22,25000.0,2025-11-29,Subscription Revenue
108,130,college,24,25000.0,2025-02-23,Subscription Revenue
109,133,college,46,66400.0,2024-01-26,Placement Commission
110,134,college,73,50000.0,2025-06-16,Subscription Revenue
111,135,college,74,33200.0,2025-12-03,Placement Commission
112,136,college,0,18934.38,2023-07-20,Listing Fee
113,137,college,6,27600.0,2024-12-26,Placement Commission
114,138,college,0,39661.74,2024-06-07,Premium Feature
115,139,college,58,35360.0,2025-07-12,Placement Commission
116,140,college,0,14340.17,2024-09-01,Listing Fee
117,141,college,33,50000.0,2024-10-13,Subscription Revenue
118,142,college,0,66440.63,2025-03-16,Premium Feature
119,143,college,80,26000.0,2025-10-27,Placement Commission
120,144,college,56,100000.0,2023-10-10,Subscription Revenue
121,146,college,0,9685.79,2025-01-29,Listing Fee
122,147,college,0,48175.88,2025-03-04,Premium Feature
123,148,college,24,75840.0,2024-09-13,Placement Commission
124,149,college,34,35280.0,2024-02-05,Placement Commission
125,150,college,0,26907.25,2026-04-01,Premium Feature
126,151,college,0,57902.89,2025-06-21,Listing Fee
127,153,college,69,100000.0,2024-04-16,Subscription Revenue
128,154,college,22,84480.0,2026-06-15,Placement Commission
129,155,college,0,22681.74,2026-05-05,Listing Fee
130,157,college,0,65332.39,2025-02-11,Listing Fee
131,158,college,11,150000.0,2023-06-30,Subscription Revenue
132,160,college,0,26424.61,2023-10-21,Listing Fee
133,162,college,0,69931.48,2024-01-29,Premium Feature
134,163,college,0,25986.64,2026-06-16,Listing Fee
135,164,college,0,63009.93,2025-04-03,Premium Feature
136,166,college,0,15414.45,2026-03-05,Premium Feature
137,167,college,0,74786.16,2023-10-09,Listing Fee
